"","File_Name","Child_ID","Child_Age","Start_Time","End_Time","Child_C","Child_X","Child_R","Child_L","Child_C_X","Adult_Lyrical_N","Adult_Lyrical_U","Adult_Lyrical_T","Adult_NonLyrical_N","Adult_NonLyrical_U","Adult_NonLyrical_T","Adult_NoMusic_N","Adult_NoMusic_U","Adult_NoMusic_T","Child_C_log","Child_X_log","Child_R_log","Child_L_log","Child_C_X_log","Adult_Lyrical_N_log","Adult_Lyrical_U_log","Adult_Lyrical_T_log","Adult_NonLyrical_N_log","Adult_NonLyrical_U_log","Adult_NonLyrical_T_log","Adult_NoMusic_N_log","Adult_NoMusic_U_log","Adult_NoMusic_T_log","Child_C_count","Child_X_count","Child_R_count","Child_L_count","Child_C_X_count","Adult_Lyrical_N_count","Adult_Lyrical_U_count","Adult_Lyrical_T_count","Adult_NonLyrical_N_count","Adult_NonLyrical_U_count","Adult_NonLyrical_T_count","Adult_NoMusic_N_count","Adult_NoMusic_U_count","Adult_NoMusic_T_count"
"79","0193_000309",193,3,1975,2275,22.497,24.321,0,0,46.818,0,0,0,0,0,0,35.852,0,29.981,3.15687275342647,3.23163409096686,0,0,3.86740213765074,0,0,0,0,0,0,3.60690989124669,0,3.43337411335738,15,45,0,0,60,0,0,0,0,0,0,30,0,26
"80","0193_000309",193,3,11875,12175,0.945,22.485,0,0,23.43,0,0,0,0,0,0,0,0,37.204,0.66526197707041,3.15636191947896,0,0,3.19581188526965,0,0,0,0,0,0,0,0,3.64294022217249,1,44,0,0,45,0,0,0,0,0,0,0,0,26
"81","0193_000309",193,3,21775,22075,1.874,34.518,0,0,36.392,0,0,0,0,0,0,8.898,0,129.107,1.05570478765683,3.5700396102324,0,0,3.6214567777965,0,0,0,0,0,0,2.29233271652969,0,4.8683571888366,2,55,0,0,57,0,0,0,0,0,0,3,0,74
"82","0193_000606",193,6,12533,12833,8.753,34.769,0,3.084,43.522,0,0,0,0,0,0,20.099,0,55.433,2.27757492998988,3.5770815964921,0,1.40707690030242,3.79598344902814,0,0,0,0,0,0,3.04922564599399,0,4.03305409377899,6,33,0,1,39,0,0,0,0,0,0,17,0,50
"83","0193_000606",193,6,21833,22133,1.048,38.04,0,0,39.088,0,0,0,0,0,0,12.098,0,52.206,0.716863707177261,3.66458676154489,0,0,3.69107703765742,0,0,0,0,0,0,2.57245954679586,0,3.97417117194308,1,54,0,0,55,0,0,0,0,0,0,10,0,39
"84","0193_000606",193,6,34133,34433,4.311,54.148,0,0,58.459,0,0,0,0,0,0,71.344,3.542,38.108,1.66978014144026,4.01002048030938,0,0,4.0852869993996,0,0,0,0,0,0,4.28143251943818,1.51336744368337,3.66632704964342,3,50,0,0,53,0,0,0,0,0,0,69,1,28
"85","0193_000900",193,9,6137,6437,0,22.745,0,1.322,22.745,0,0,0,0,0,0,3.561,0,31.182,0,3.16737198200109,0,0.8424288832757,3.16737198200109,0,0,0,0,0,0,1.51754189772956,0,3.47140729003696,0,45,0,4,45,0,0,0,0,0,0,2,0,36
"86","0193_000900",193,9,33437,33737,0,32.739,0.27,0,32.739,0,0,0,0,0,0,3.216,0,9.24,0,3.51865443826722,0.2390169004705,0,3.51865443826722,0,0,0,0,0,0,1.43888681123906,0,2.32630161961136,0,30,1,0,30,0,0,0,0,0,0,2,0,8
"87","0193_000900",193,9,40637,40937,1.451,15.9,10.335,1.099,17.351,0,0,0,0,0,0,24.975,0,52.518,0.896496104545976,2.82731362192903,2.42789528395949,0.741461040838496,2.90968406892854,0,0,0,0,0,0,3.25713453698529,0,3.98001804591395,2,23,5,4,25,0,0,0,0,0,0,24,0,47
"88","0193_010605b",193,18,660,960,33.547,33.741,0,0,67.288,0,0,0,0,0,0,7.806,2.021,0,3.5423207157635,3.54792054566062,0,0,4.22373405567929,0,0,0,0,0,0,2.17543330733356,1.10558790240453,0,38,39,0,0,77,0,0,0,0,0,0,7,2,0
"89","0193_010605b",193,18,13860,14160,14.397,25.984,9.218,2.606,40.381,0,0,0,0,0,0,49.048,1.34,13.796,2.73417268524778,3.29524409775935,2.32415087090861,1.28259912478113,3.72282183828929,0,0,0,0,0,0,3.91298254492285,0.85015092936961,2.69435687397021,15,44,5,9,59,0,0,0,0,0,0,37,1,13
"90","0193_010605b",193,18,19560,19860,12.229,24.133,0,0.858,36.362,0,0,0,0,0,0,104.69,5.996,3.932,2.58241138948024,3.22418172365838,0,0.619500640391647,3.62065414511837,0,0,0,0,0,0,4.66051028102126,1.94533855715636,1.5957445853021,12,32,0,1,44,0,0,0,0,0,0,81,3,4
"91","0205_000302",205,3,13831,14131,0,31.246,6.811,0,31.246,0,0,0,0,0,0,113.335,0.626,16.093,0,3.47339400454155,2.05553299662816,0,3.47339400454155,0,0,0,0,0,0,4.73913273565106,0.486123011125619,2.83866902297413,0,86,7,0,86,0,0,0,0,0,0,81,2,19
